year,male 15-19 yrs,male 20-24 yrs,male 25-34 yrs,male 35-44 yrs,male 15-44,female 15-19 yrs,female 20-24 yrs,female 25-34 yrs,female 35-44 yrs,female 15-44
2001,1531400,1463400,2994800,4458200,10447800,1470900,1456900,2927800,4384700,10240300
2002,1558500,1494300,3052800,4547100,10652700,1486500,1492300,2978800,4471100,10428700
2003,1593900,1526100,3120000,4646100,10886100,1510100,1529400,3039500,4568900,10647900
2004,1624400,1561800,3186200,4748000,11120400,1551300,1563500,3114800,4678300,10907900
2005,1638000,1612400,3250400,4862800,11363600,1580500,1594200,3174700,4768900,11118300
2006,1644900,1654500,3299400,4953900,11552700,1603300,1639200,3242500,4881700,11366700
2007,1675400,1678800,3354200,5033000,11741400,1615600,1676500,3292100,4968600,11552800
2008,1698900,1715700,3414600,5130300,11959500,1633700,1703400,3337100,5040500,11714700
2009,1700500,1731100,3431600,5162700,12025900,1636700,1734300,3371000,5105300,11847300
2010,1710700,1726500,3437200,5163700,12038100,1644300,1739500,3383800,5123300,11890900
2011,1709200,1763500,3472700,5236200,12181600,1633900,1752000,3385900,5137900,11909700
2012,1701100,1815500,3516600,5332100,12365300,1623200,1780700,3403900,5184600,11992400
2013,1685600,1833400,3519000,5352400,12390400,1600700,1788200,3388900,5177100,11954900
2014,1670700,1829400,3500100,5329500,12329700,1584100,1774400,3358500,5132900,11849900
2015,1658800,1837400,3496200,5333600,12326000,1572200,1769100,3341300,5110400,11793000
2016,1650500,1832500,3483000,5315500,12281500,1562800,1759800,3322600,5082400,11727600
